Rank,Release,Gross,Max_Th,Opening,%_of_Total,Open_Th,Open,Close,Distributor
42,Scary Stories to Tell in the Dark,"$68,947,075","3,135","$20,915,346",30.3%,"3,135",Aug 9,-,Lionsgate
43,Spies in Disguise,"$66,757,013","3,502","$13,354,798",20%,"3,502",Dec 25,-,Twentieth Century Fox
44,X-Men: Dark Phoenix,"$65,845,974","3,721","$32,828,348",49.9%,"3,721",Jun 7,Aug 15,Twentieth Century Fox
45,Terminator: Dark Fate,"$62,253,077","4,086","$29,033,832",46.6%,"4,086",Nov 1,Dec 26,Paramount Pictures
46,A Beautiful Day in the Neighborhood,"$61,704,055","3,491","$13,251,238",21.5%,"3,235",Nov 22,Mar 12,Sony Pictures Releasing
47,Abominable,"$60,716,390","4,248","$20,612,100",33.9%,"4,242",Sep 27,Jan 2,Universal Pictures
48,Dora and the Lost City of Gold,"$60,477,943","3,735","$17,431,588",28.8%,"3,735",Aug 9,-,Paramount Pictures
49,Escape Room,"$57,005,601","2,717","$18,238,172",32%,"2,717",Jan 4,Apr 25,Sony Pictures Releasing
50,Midway,"$56,846,802","3,242","$17,897,419",31.5%,"3,242",Nov 8,Jan 23,Lionsgate
51,The Curse of la Llorona,"$54,733,739","3,372","$26,347,631",48.1%,"3,372",Apr 19,Jul 4,Warner Bros.
52,Pet Sematary,"$54,724,696","3,585","$24,502,775",44.8%,"3,585",Apr 5,May 30,Paramount Pictures
53,What Men Want,"$54,611,903","2,912","$18,232,087",33.4%,"2,912",Feb 8,Apr 11,Paramount Pictures
54,Parasite,"$53,369,749","2,001","$393,216",0.7%,3,Oct 11,-,Neon
55,Ad Astra,"$50,188,370","3,460","$19,001,398",37.9%,"3,460",Sep 20,Dec 12,Twentieth Century Fox
56,Uncut Gems,"$50,023,780","2,686","$537,242",1.1%,5,Dec 13,-,A24
57,Isn't It Romantic,"$48,791,187","3,444","$14,247,758",29.2%,"3,444",Feb 13,May 9,Warner Bros.
58,Gemini Man,"$48,546,770","3,642","$20,552,372",42.3%,"3,642",Oct 11,-,Paramount Pictures
59,Ma,"$45,896,028","2,816","$18,099,805",39.4%,"2,808",May 31,Jul 18,Universal Pictures
60,Five Feet Apart,"$45,729,221","2,866","$13,190,286",28.8%,"2,803",Mar 15,May 30,Lionsgate
61,Wonder Park,"$45,216,793","3,838","$15,853,646",35.1%,"3,838",Mar 15,May 9,Paramount Pictures
62,Rambo: Last Blood,"$44,819,352","3,618","$18,872,919",42.1%,"3,618",Sep 20,Nov 21,Lionsgate
63,Playing with Fire,"$44,451,847","3,185","$12,723,781",28.6%,"3,125",Nov 8,-,Paramount Pictures
64,Queen & Slim,"$43,808,310","1,715","$11,890,490",27.1%,"1,690",Nov 27,Jan 30,Universal Pictures
65,Harriet,"$43,082,155","2,186","$11,676,720",27.1%,"2,059",Nov 1,Jan 23,Focus Features
66,A Dog's Way Home,"$42,004,346","3,090","$11,251,263",26.8%,"3,090",Jan 11,Mar 28,Sony Pictures Releasing
67,The Angry Birds Movie 2,"$41,667,116","3,869","$10,354,073",24.8%,"3,869",Aug 13,Nov 14,Sony Pictures Releasing
68,Little,"$40,860,481","2,667","$15,405,455",37.7%,"2,667",Apr 12,Jun 6,Universal Pictures
69,Breakthrough,"$40,713,082","2,913","$11,282,333",27.7%,"2,824",Apr 17,Jul 4,Twentieth Century Fox
70,Crawl,"$39,014,193","3,170","$12,005,210",30.8%,"3,170",Jul 12,Sep 5,Paramount Pictures
71,Just Mercy,"$36,001,502","2,457","$107,858",0.3%,4,Dec 25,-,Warner Bros.
72,The Intruder,"$35,419,122","2,231","$10,855,054",30.6%,"2,222",May 3,Jun 27,Screen Gems
73,The Hustle,"$35,417,038","3,077","$13,007,709",36.7%,"3,007",May 10,Jul 11,United Artists Releasing
74,Last Christmas,"$35,150,750","3,454","$11,441,055",32.5%,"3,448",Nov 8,Jan 2,Universal Pictures
75,Overcomer,"$34,746,945","2,293","$8,146,533",23.4%,"1,723",Aug 23,Dec 5,Affirm Films
76,Jojo Rabbit,"$33,370,906","1,173","$349,555",1%,5,Oct 18,-,Fox Searchlight Pictures
77,Cold Pursuit,"$32,138,862","2,630","$11,030,233",34.3%,"2,630",Feb 8,Apr 18,Lionsgate
78,Bombshell,"$31,762,808","1,721","$319,157",1%,4,Dec 13,-,Lionsgate
79,Doctor Sleep,"$31,581,712","3,855","$14,114,124",44.7%,"3,855",Nov 8,Jan 9,Warner Bros.
80,Dragon Ball Super: Broly,"$30,712,119","1,267","$9,816,197",32%,"1,238",Jan 16,Feb 20,FUNimation Entertainment
81,Long Shot,"$30,316,271","3,230","$9,740,064",32.1%,"3,230",May 3,Jun 20,Lionsgate
82,Child's Play,"$29,208,403","3,007","$14,094,594",48.3%,"3,007",Jun 21,Aug 8,United Artists Releasing
83,Ready or Not,"$28,714,231","2,998","$8,015,590",27.9%,"2,855",Aug 21,Oct 24,Fox Searchlight Pictures
84,21 Bridges,"$28,539,757","2,665","$9,261,268",32.5%,"2,665",Nov 22,Jan 23,STX Entertainment
85,Happy Death Day 2U,"$28,148,130","3,212","$9,497,665",33.7%,"3,207",Feb 13,Apr 4,Universal Pictures
86,Midsommar,"$27,426,361","2,707","$6,560,030",23.9%,"2,707",Jul 3,-,A24
87,Cats,"$27,166,770","3,380","$6,619,870",24.4%,"3,380",Dec 20,Feb 13,Universal Pictures
88,The Art of Racing in the Rain,"$26,395,642","2,765","$8,137,584",30.8%,"2,765",Aug 9,Oct 24,Twentieth Century Fox
89,Countdown,"$25,621,766","2,675","$8,865,082",34.6%,"2,675",Oct 25,Jan 9,STX Entertainment
90,Judy,"$24,313,888","1,627","$2,916,548",12%,461,Sep 27,-,Roadside Attractions
91,Fighting with My Family,"$22,958,886","2,855","$138,780",0.6%,4,Feb 14,May 23,Metro-Goldwyn-Mayer (MGM)
92,A Dog's Journey,"$22,782,371","3,279","$8,030,085",35.2%,"3,267",May 17,Jul 18,Universal Pictures
93,Booksmart,"$22,680,962","2,518","$6,933,620",30.6%,"2,505",May 24,Aug 8,United Artists Releasing
94,Stuber,"$22,370,452","3,050","$8,225,384",36.8%,"3,050",Jul 12,Aug 29,Twentieth Century Fox
95,Richard Jewell,"$22,345,542","2,502","$4,705,265",21.1%,"2,502",Dec 13,Feb 6,Warner Bros.
96,47 Meters Down: Uncaged,"$22,260,900","2,883","$8,427,265",37.9%,"2,853",Aug 16,-,Entertainment Studios Motion Pictures
97,Black and Blue,"$22,055,313","2,062","$8,376,846",38%,"2,062",Oct 25,Jan 2,Screen Gems
98,Hellboy,"$21,903,748","3,303","$12,045,147",55%,"3,303",Apr 12,May 16,Lionsgate
99,Shaft,"$21,360,215","2,952","$8,901,419",41.7%,"2,952",Jun 14,Aug 15,Warner Bros.
100,The Peanut Butter Falcon,"$20,457,151","1,490","$204,793",1%,17,Aug 9,Dec 19,Roadside Attractions
101,UglyDolls,"$20,150,241","3,652","$8,603,407",42.7%,"3,652",May 3,Jul 4,STX Entertainment
102,Unplanned,"$19,005,109","1,516","$6,382,298",33.6%,"1,059",Mar 29,-,Pure Flix Entertainment
103,Charlie's Angels,"$17,803,077","3,452","$8,351,109",46.9%,"3,452",Nov 15,-,Sony Pictures Releasing
104,The Farewell,"$17,695,781",891,"$355,662",2%,4,Jul 12,-,A24
105,Brightburn,"$17,300,439","2,607","$7,845,658",45.3%,"2,607",May 24,Jun 27,Screen Gems
106,The Good Liar,"$17,156,058","2,454","$5,605,051",32.7%,"2,439",Nov 15,Jan 16,Warner Bros.
107,The Kid Who Would Be King,"$16,790,790","3,528","$7,173,887",42.7%,"3,521",Jan 25,Apr 4,Twentieth Century Fox
108,Missing Link,"$16,649,539","3,437","$5,944,950",35.7%,"3,413",Apr 12,Jul 11,United Artists Releasing
109,Late Night,"$15,499,454","2,220","$246,305",1.6%,4,Jun 7,Aug 29,Amazon Studios
110,Miss Bala,"$15,006,824","2,203","$6,864,744",45.7%,"2,203",Feb 1,Mar 21,Sony Pictures Releasing
111,The Prodigy,"$14,856,291","2,530","$5,853,061",39.4%,"2,530",Feb 8,Apr 11,Orion Pictures
112,Poms,"$13,631,124","2,750","$5,361,937",39.3%,"2,750",May 10,Jun 20,STX Entertainment
113,The Kitchen,"$12,180,032","2,745","$5,527,410",45.4%,"2,745",Aug 9,Oct 3,Warner Bros.
114,After,"$12,138,565","2,138","$6,002,349",49.4%,"2,138",Apr 12,Jun 6,Aviron Pictures
115,Blinded by the Light,"$11,901,145","2,307","$4,333,305",36.4%,"2,307",Aug 16,Oct 10,Warner Bros.
116,Dark Waters,"$11,136,084","2,112","$102,606",0.9%,4,Nov 22,Jan 16,Focus Features
117,The Lighthouse,"$10,867,104",978,"$427,797",3.9%,8,Oct 18,-,A24
118,Greta,"$10,532,219","2,417","$4,481,910",42.6%,"2,411",Mar 1,Apr 4,Focus Features
119,Black Christmas,"$10,429,730","2,625","$4,240,245",40.7%,"2,625",Dec 13,-,Universal Pictures
120,The Best of Enemies,"$10,205,616","1,705","$4,446,190",43.6%,"1,705",Apr 5,May 16,STX Entertainment
121,Hotel Mumbai,"$9,651,611",930,"$88,065",0.9%,4,Mar 22,Jun 6,Bleecker Street Media
122,Motherless Brooklyn,"$9,277,736","1,342","$3,500,454",37.7%,"1,342",Nov 1,Dec 19,Warner Bros.
123,No Manches Frida 2,"$9,270,920",472,"$3,831,401",41.3%,472,Mar 15,May 2,Pantelion Films
124,"Where'd You Go, Bernadette","$9,198,356","2,404","$3,462,308",37.6%,"2,404",Aug 16,Oct 10,United Artists Releasing
125,Apollo 11,"$9,039,891",588,"$1,607,040",17.8%,120,Mar 1,Jul 21,Neon
126,Serenity,"$8,547,045","2,561","$4,415,403",51.7%,"2,561",Jan 25,Mar 7,Aviron Pictures
127,Anna,"$7,743,794","2,114","$3,600,647",46.5%,"2,114",Jun 21,Aug 8,Lionsgate
128,Penguins,"$7,699,452","1,815","$2,282,593",29.6%,"1,815",Apr 17,Jun 13,Walt Disney Studios Motion Pictures
129,Brittany Runs a Marathon,"$7,189,808","1,033","$180,711",2.5%,5,Aug 23,-,Amazon Studios
130,The Dead Don't Die,"$6,563,605",690,"$2,540,240",38.7%,613,Jun 14,Jul 18,Focus Features
131,Jexi,"$6,546,159","2,332","$3,106,730",47.5%,"2,332",Oct 11,Nov 8,Lionsgate
132,Run the Race,"$6,424,420","1,075","$2,161,480",33.6%,853,Feb 22,May 2,Roadside Attractions
133,The Current War: Director's Cut,"$5,979,540","1,082","$2,633,717",44%,"1,022",Oct 25,-,101 Studios
134,Captive State,"$5,958,315","2,549","$3,131,525",52.6%,"2,548",Mar 15,Apr 4,Focus Features
135,The Wandering Earth,"$5,875,487",129,"$1,685,287",28.7%,64,Feb 5,Apr 4,CMC Pictures
136,Arctic Dogs,"$5,801,249","2,844","$2,901,335",50%,"2,844",Nov 1,-,Entertainment Studios Motion Pictures
137,Gloria Bell,"$5,611,123","1,127","$145,218",2.6%,5,Mar 8,May 23,A24
138,Gully Boy,"$5,566,534",270,"$2,045,068",36.7%,258,Feb 14,Apr 4,A24
139,The Goldfinch,"$5,332,621","2,542","$2,679,027",50.2%,"2,542",Sep 13,Oct 24,Warner Bros.
140,Don't Let Go,"$5,215,062",922,"$2,338,669",44.8%,922,Aug 30,-,Warner Bros.
141,The Mustang,"$5,043,620",527,"$71,657",1.4%,4,Mar 15,May 16,Focus Features
142,The Sun Is Also a Star,"$4,950,029","2,073","$2,511,530",50.7%,"2,073",May 17,Jun 6,Warner Bros.
143,Bring The Soul: The Movie,"$4,809,800",873,"$2,296,491",-,873,Aug 7,-,Trafalgar Releasing
144,Menteur,"$4,697,364",89,"$607,229",12.9%,89,Jul 12,-,Entertainment One
145,War,"$4,654,000",305,"$1,607,627",34.5%,305,Oct 2,-,Yash Raj Films
146,Pavarotti,"$4,600,249",288,"$144,032",3.1%,19,Jun 7,-,CBS Films
147,Jay and Silent Bob Reboot,"$4,589,490",788,"$93,520",2%,1,Oct 15,-,Saban Films
148,Pain and Glory,"$4,567,338",266,"$152,636",3.3%,4,Oct 4,-,Sony Pictures Classics
149,Tolkien,"$4,535,154","1,501","$2,200,537",48.5%,"1,495",May 10,Jun 13,Fox Searchlight Pictures
150,The Last Black Man in San Francisco,"$4,515,719",207,"$235,272",5.2%,7,Jun 7,-,A24
151,Brian Banks,"$4,376,819","1,240","$2,156,272",49.3%,"1,240",Aug 9,Sep 26,Bleecker Street Media
152,The Biggest Little Farm,"$4,366,949",285,"$110,492",2.5%,5,May 10,-,Neon
153,Linda Ronstadt: The Sound of My Voice,"$4,252,657",247,"$113,235",2.7%,7,Sep 6,-,Greenwich Entertainment
154,Uri: The Surgical Strike,"$4,186,168",132,"$631,146",15.1%,101,Jan 11,Mar 28,Greenwich Entertainment
155,Replicas,"$4,046,429","2,329","$2,375,325",58.7%,"2,329",Jan 11,Feb 21,Entertainment Studios Motion Pictures
156,Ip Man 4: The Finale,"$3,956,031",125,"$737,718",18.6%,70,Dec 25,-,Well Go USA Entertainment
157,Portrait of a Lady on Fire,"$3,759,854",334,"$67,344",1.8%,2,Dec 6,-,Neon
158,Ne Zha,"$3,695,533",135,"$1,015,755",27.5%,66,Aug 29,-,Well Go USA Entertainment
159,Mission Mangal,"$3,659,413",263,"$1,365,006",37.3%,263,Aug 15,Sep 26,FIP
160,The Oscar Nominated Short Films 2019: Documentary,"$3,531,094",415,"$938,455",26.6%,270,Feb 8,Mar 28,Shorts International
161,BTS World Tour: Love Yourself in Seoul,"$3,509,917",997,"$2,860,016",81.5%,997,Jan 26,-,Fathom Events
162,The Beach Bum,"$3,502,600","1,100","$1,763,070",50.3%,"1,100",Mar 29,May 9,Neon
163,Echo in the Canyon,"$3,355,324",147,"$117,651",3.5%,2,May 24,-,Greenwich Entertainment
164,Maiden,"$3,168,978",180,"$46,931",1.5%,6,Jun 28,-,Sony Pictures Classics
165,Honey Boy,"$3,012,615",460,"$301,065",10%,4,Nov 8,-,Amazon Studios
166,Bharat,"$2,971,549",311,"$1,252,301",42.1%,311,Jun 5,Jul 4,Amazon Studios
167,Friends 25th: The One With The Anniversary,"$2,884,827","1,586","$1,177,873",40.8%,"1,586",Sep 23,-,Fathom Events
168,Saaho,"$2,872,057",381,"$1,452,102",50.6%,381,Aug 29,-,Yash Raj Films
169,Kalank,"$2,729,336",320,"$1,276,581",46.8%,320,Apr 17,May 9,FIP
170,Tod@s Caen,"$2,670,925",371,"$1,098,401",41.1%,371,Aug 30,Oct 3,Pantelion Films
171,Everybody Knows,"$2,660,165",283,"$71,207",2.7%,4,Feb 8,Apr 4,Focus Features
172,The Art of Self-Defense,"$2,410,914",550,"$114,374",4.7%,7,Jul 12,Aug 8,Bleecker Street Media
173,Arctic,"$2,410,795",268,"$50,878",2.1%,4,Feb 1,May 9,Bleecker Street Media
174,"My People, My Country","$2,356,683",83,"$876,001",37.2%,67,Oct 1,Nov 7,CMC Pictures
175,Promare,"$2,313,596",701,"$109,085",4.7%,54,Sep 17,-,GKIDS
176,Super 30,"$2,269,878",317,"$871,256",38.4%,317,Jul 12,-,Reliance Big Pictures
177,Faustina: Love and Mercy,"$2,243,180",810,-,-,-,Oct 28,-,Fathom Events
178,Gone with the Wind,"$2,176,120",717,"$1,089,932",50.1%,717,Feb 28,Mar 21,Fathom Events
179,3 from Hell,"$2,172,949",667,-,-,-,Sep 16,-,Saban Films
180,Total Dhamaal,"$2,167,632",209,"$989,387",45.6%,202,Feb 22,Mar 21,FIP
181,Housefull 4,"$2,109,160",315,"$904,808",42.9%,315,Oct 25,Nov 21,FIP
182,The Wizard of Oz,"$2,076,020",681,"$1,195,606",57.6%,681,Jan 27,Feb 7,Fathom Events
183,Luce,"$2,010,613",235,"$132,987",6.6%,5,Aug 2,-,Neon
184,Chhichhore,"$2,004,400",195,"$614,335",30.6%,195,Sep 6,Oct 10,FIP
185,Official Secrets,"$1,988,546",485,"$64,965",3.3%,4,Aug 30,-,IFC Films
186,Better Days,"$1,921,657",88,"$989,536",51.5%,70,Nov 8,-,Well Go USA Entertainment
187,Badla,"$1,861,000",115,"$596,446",32%,50,Mar 8,Mar 31,Reliance Big Pictures
188,The White Crow,"$1,828,784",365,"$78,782",4.3%,5,Apr 26,-,Sony Pictures Classics
189,The Other Side of Heaven 2: Fire of Faith,"$1,807,216",205,"$454,257",25.1%,205,Jun 28,-,ArtAffects Entertainment
190,Fantastic Fungi,"$1,788,322",37,"$9,419",0.5%,1,Sep 20,-,Area 23a
191,A Hidden Life,"$1,730,597",151,"$50,383",2.9%,5,Dec 13,Feb 6,Fox Searchlight Pictures
192,Waves,"$1,658,790",570,"$134,333",8.1%,4,Nov 15,-,A24
193,Wild Rose,"$1,635,117",195,"$52,938",3.2%,4,Jun 21,-,Neon
194,The Aftermath,"$1,618,497",344,"$56,419",3.5%,5,Mar 15,May 2,Fox Searchlight Pictures
195,Western Stars,"$1,581,681",553,"$560,282",35.4%,345,Oct 25,Dec 12,Warner Bros.
196,Red Joan,"$1,579,730",195,"$38,949",2.5%,4,Apr 19,Jul 4,IFC Films
197,After the Wedding,"$1,574,258",428,"$50,264",3.2%,5,Aug 9,-,Sony Pictures Classics
198,Extreme Job,"$1,565,885",26,"$42,587",2.7%,2,Jan 25,Apr 4,CJ Entertainment
199,The Kid,"$1,508,593",268,"$514,286",34.1%,268,Mar 8,Apr 18,Lionsgate
200,El Chicano,"$1,400,603",605,"$700,261",50%,605,May 3,May 23,Lionsgate
201,National Lampoon's Christmas Vacation,"$1,385,620",-,-,-,-,Nov 1,-,Warner Bros.
202,It,"$1,347,126",-,-,-,-,Aug 3,-,Warner Bros.
203,Spirited Away,"$1,322,927",768,"$561,821",42.5%,765,Oct 27,-,Fathom Events
204,One Piece: Stampede,"$1,298,528",541,"$357,740",27.5%,541,Oct 24,Nov 8,FUNimation Entertainment
205,Pilgrim's Progress,"$1,294,596",758,"$678,647",52.4%,706,Apr 18,Apr 20,Fathom Events
206,No Safe Spaces,"$1,291,514",200,"$45,236",3.5%,1,Oct 25,Nov 10,Atlas Distribution Company
207,Asterix: The Secret of the Magic Potion,"$1,271,953",76,"$193,040",15.2%,51,Feb 15,May 12,Entertainment One
208,Metallica & San Francisco Symphony - S&M2,"$1,252,385",655,"$144,736",11.6%,157,Oct 9,-,Trafalgar Releasing
209,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552",490,"$1,226,552",100%,490,Oct 27,-,Fathom Events
210,High Life,"$1,225,852",146,"$99,341",8.1%,4,Apr 5,May 30,A24
211,All Is True,"$1,200,481",328,"$44,211",3.7%,4,May 10,-,Sony Pictures Classics
212,Kingdom Men Rising,"$1,188,936",705,-,-,-,Apr 29,-,Fathom Events
213,Los Domirriqueños 2,"$1,187,280",82,"$341,847",28.8%,53,Mar 14,Apr 21,Spanglish Movies
214,Ek Ladki Ko Dekha Toh Aisa Laga,"$1,182,636",193,"$606,775",51.3%,193,Feb 1,Feb 21,FIP
215,Nothing to Lose 2,"$1,150,551",105,"$606,934",52.8%,97,Sep 27,-,FIP
216,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$1,134,786",692,-,-,-,Nov 12,-,Fathom Events
217,Playmobil: The Movie,"$1,115,008","2,337","$656,530",58.9%,"2,337",Dec 6,Jan 9,STX Entertainment
218,My Neighbor Totoro,"$1,105,564",767,"$484,254",43.8%,767,Aug 25,-,Fathom Events
219,El Coyote,"$1,101,470",297,-,-,-,Oct 4,-,Fathom Events
220,The Song of Names,"$1,077,584",182,"$39,452",3.7%,10,Dec 25,-,Sony Pictures Classics
221,Merci pour tout,"$1,073,969",76,"$231,908",21.6%,57,Dec 25,-,Sony Pictures Classics
222,Bennett's War,"$1,056,416",970,"$430,898",40.8%,970,Aug 30,Sep 26,Sony Pictures Classics
223,Princess Mononoke,"$1,046,446",752,"$417,311",39.9%,752,Nov 17,-,Fathom Events
224,Luka Chuppi,"$1,042,905",139,"$485,342",46.5%,139,Mar 1,Apr 4,Fathom Events
225,The Souvenir,"$1,036,737",145,"$78,400",7.6%,4,May 17,Jul 18,A24
226,Noah,"$1,035,603",669,"$392,734",37.9%,602,Apr 9,Apr 13,Fathom Events
227,Perfect Strangers,"$1,014,507",132,"$422,656",41.7%,132,Jan 11,Feb 14,Pantelion Films
228,Marianne & Leonard: Words of Love,"$1,012,034",101,"$44,942",4.4%,4,Jul 5,-,Roadside Attractions
229,Kiki's Delivery Service,"$1,004,057",753,"$352,556",35.1%,753,Jul 28,-,Fathom Events
230,Jesus Is King,"$973,000",372,"$830,000",-,372,Oct 25,-,IMAX
231,Rush: Cinema Strangiato 2019,"$960,073",494,"$2,580",0.3%,1,Aug 21,-,Trafalgar Releasing
232,The Fighting Preacher,"$954,641",37,"$60,223",6.3%,28,Jul 24,-,Purdie Distribution
233,Toni Morrison: The Pieces I Am,"$903,018",78,"$48,050",5.3%,4,Jun 21,-,Magnolia Pictures
234,Kinky Boots: The Musical,"$900,451",492,"$386,612",42.9%,455,Jun 25,Jun 29,Fathom Events
235,Between Me and My Mind,"$875,191",488,"$14,614",1.7%,16,Jul 17,-,Trafalgar Releasing
236,Pati Patni Aur Woh,"$874,044",130,"$432,145",49.4%,130,Dec 6,-,Eros International
237,Howl's Moving Castle,"$865,647",748,"$368,180",42.5%,748,Apr 7,Apr 10,Fathom Events
238,The Goonies,"$864,378",-,-,-,-,May 1,-,Warner Bros.
239,Steel Magnolias,"$855,421",689,"$495,528",57.9%,689,May 19,May 22,Fathom Events
240,Woman at War,"$847,495",66,"$18,370",2.2%,5,Mar 1,Jun 13,Magnolia Pictures
241,Alien,"$833,658",682,"$386,976",46.4%,682,Oct 13,-,Fathom Events
242,Que Leones,"$822,828",3,-,-,-,Dec 5,-,Spanglish Movies
243,Climax,"$817,339",217,"$119,423",14.6%,5,Mar 1,Apr 11,A24
244,Transit,"$815,290",72,"$31,931",3.9%,2,Mar 1,Jun 27,Music Box Films
245,Honeyland,"$815,082",56,"$31,381",3.9%,2,Jul 26,-,Neon
246,Chonda Pierce: Unashamed,"$787,979",783,-,-,-,May 7,May 9,Fathom Events
247,Elf,"$786,249",-,-,-,-,Nov 1,-,Warner Bros.
248,Student of the Year 2,"$778,566",190,"$462,108",59.4%,190,May 10,May 23,FIP
249,The Church,"$772,000",252,"$272,412",35.3%,252,May 24,Jun 27,Indican Pictures
250,Patterns of Evidence: Moses Controversy,"$765,361",896,"$217,327",28.4%,855,Mar 14,Mar 21,Fathom Events
251,I Love Lucy: A Colorized Celebration,"$754,323",634,-,-,-,Aug 6,-,Fathom Events
